Type,Name,Price,Coupon,Maturity,YTM,CurrentYield,Rating,Callable
Muni,Asset 2426,111.01,4.17,18-Sep-2017,3.107,3.75641834069003,AA,0
Muni,Asset 2427,116.6,4.5,22-Jun-2021,3.553,3.85934819897084,AA,0
Corp,Asset 2428,85.6,8.2,12-Jun-2017,8.404,9.57943925233645,B,0
Muni,Asset 2429,115.92,5.06,30-Dec-2017,3.81,4.36507936507936,AA,0
Muni,Asset 2430,112.45,4.98,23-Jul-2027,3.597,4.42863494886616,AA,1
Muni,Asset 2431,110.01,3.05,27-Sep-2016,2.458,2.77247522952459,AA,0
Muni,Asset 2432,110.27,6.47,18-Nov-2025,5.116,5.86741634170672,NA,1
Treas,Asset 2433,99.86,0.86,07-Dec-2016,0.861,0.861205687963148,AAA,0
Muni,Asset 2434,74.83,0.01,25-Aug-2020,0.052,0.0133636242148871,AA,0
Muni,Asset 2435,114.27,5.43,28-Jun-2017,4.114,4.75190338671567,BBB,0
Muni,Asset 2436,105.23,3,14-May-2016,2.686,2.85089803288036,A,0
Corp,Asset 2437,106.32,5.09,16-Feb-2021,3.678,4.78743416102333,BBB,0
Muni,Asset 2438,110.91,5.29,19-Jul-2029,3.828,4.76963303579479,AA,1
Muni,Asset 2439,105.93,5.2,07-Feb-2031,3.772,4.90890210516379,Not Rated,1
Muni,Asset 2440,94.79,4.04,31-Jan-2017,3.45,4.26205295917291,NA,1
Corp,Asset 2441,70.61,7.79,27-Jun-2016,7.376,11.0324316669027,B,0
Corp,Asset 2442,90.93,6.08,19-Feb-2037,4.517,6.68646211371385,A,1
Muni,Asset 2443,103.39,3.18,11-Nov-2031,2.861,3.07573266273334,NA,1
Corp,Asset 2444,104.06,6.34,03-Mar-2013,2.062,6.09263886219489,B,0
Muni,Asset 2445,112.03,4.1,20-Oct-2022,3.175,3.65973399982148,NA,1
Muni,Asset 2446,104.58,3.19,04-Dec-2024,3.024,3.0502964237904,AA,1
Muni,Asset 2447,104.43,5.06,10-Sep-2030,3.704,4.84535095279134,A,1
Muni,Asset 2448,105.69,4.96,23-Dec-2046,4.177,4.69297000662314,NA,1
Corp,Asset 2449,109.65,4.17,30-May-2014,3.617,3.80300957592339,AA,0
Muni,Asset 2450,111.77,4.06,04-Jul-2021,3.234,3.6324595150756,AA,0
Treas,Asset 2451,105.98,3.05,08-Oct-2013,2.098,2.87790149084733,AAA,0
Zero,Asset 2452,64.02,0,30-Oct-2028,0.029,0,AAA,0
Corp,Asset 2453,111.27,5.09,12-Jul-2014,3.692,4.57445852431024,BBB,0
Muni,Asset 2454,112.17,5.18,23-Jun-2014,4.037,4.61799055005795,BBB,0
Muni,Asset 2455,110.15,4.14,17-Jul-2013,1.499,3.75851112119837,AAA,0
Muni,Asset 2456,117.35,4.93,01-Dec-2016,4.083,4.2011077971879,A,0
Muni,Asset 2457,105.61,3.53,14-Aug-2012,-3.291,3.34248650695957,AA,0
Muni,Asset 2458,97.55,2.92,23-Oct-2027,2.701,2.99333675038442,AA,1
Corp,Asset 2459,103.9,1.73,09-Mar-2015,1.55,1.66506256015399,AAA,0
Muni,Asset 2460,100.23,0.03,28-Sep-2014,0.028,0.0299311583358276,AA,0
Corp,Asset 2461,104.32,8.31,10-Apr-2019,5.316,7.96587423312883,B,1
Muni,Asset 2462,114.99,5.3,08-Jul-2015,3.846,4.60909644316897,AA,1
Muni,Asset 2463,117.31,5.06,29-Jul-2015,3.478,4.31335777001108,AA,0
Muni,Asset 2464,94.24,4.47,23-Sep-2037,3.692,4.74320882852292,NA,1
Corp,Asset 2465,104.72,4.13,09-Nov-2015,3.532,3.94385026737968,BB,0
Muni,Asset 2466,106.22,2.94,22-Sep-2022,2.45,2.76784033138769,AA,1
Muni,Asset 2467,65.32,0.07,14-Aug-2020,0.151,0.107164727495407,A,0
Corp,Asset 2468,101.86,2.21,12-May-2012,-3.465,2.16964461024936,AAA,0
Corp,Asset 2469,88.59,2.08,28-Aug-2015,2.126,2.3478947962524,BB,0
Muni,Asset 2470,107.8,5.2,08-Jul-2012,-4.646,4.82374768089054,AAA,0
Muni,Asset 2471,132.19,5.61,10-Sep-2044,3.381,4.24389136848476,NA,0
Corp,Asset 2472,101.42,5.49,14-Jul-2014,4.17,5.4131335042398,A,0
Muni,Asset 2473,115.89,4.02,21-May-2016,3.271,3.46880662697385,AAA,0
Muni,Asset 2474,113.86,4.44,06-Feb-2022,3.21,3.89952573335675,AA,1
Corp,Asset 2475,113.38,4.6,11-Oct-2014,3.325,4.05715293702593,AAA,0
Muni,Asset 2476,120.48,5,27-Jun-2016,3.7,4.15006640106242,AA,0
Muni,Asset 2477,126.28,5.51,03-Jun-2019,4.278,4.36331960722205,AA,0
Corp,Asset 2478,110.56,4.17,15-Jan-2021,3.242,3.77170767004342,AA,0
Muni,Asset 2479,105.68,4.24,04-Jul-2024,3.507,4.01211203633611,A,1
Muni,Asset 2480,121.52,4.94,10-Nov-2017,3.639,4.06517445687953,AA,0
Corp,Asset 2481,104.88,4.3,14-Jun-2012,-2.672,4.09992372234935,AAA,0
Muni,Asset 2482,116.42,5.18,27-May-2024,4.209,4.44940731833018,AA,1
Muni,Asset 2483,108.53,4.42,06-Oct-2025,3.369,4.07260665253847,A,1
Muni,Asset 2484,110.03,4.54,30-Nov-2019,3.995,4.12614741434154,NA,0
Corp,Asset 2485,110.07,3.62,15-Jul-2020,2.905,3.28881620786772,AA,0
Muni,Asset 2486,23.81,0,08-Jun-2036,0.063,0,BBB,0
Muni,Asset 2487,107.01,4.18,11-Jan-2027,3.364,3.90617699280441,AA,1
Corp,Asset 2488,102.64,5.03,10-Mar-2012,-5.41,4.90062353858145,AA,0
Corp,Asset 2489,92.37,7.79,10-Jan-2019,5.712,8.43347407166829,B,1
Corp,Asset 2490,95.14,5.79,24-Jan-2033,4.45,6.08576834139163,A,0
Muni,Asset 2491,96.57,5.07,16-Jun-2035,4.808,5.25007766387077,BBB,1
Muni,Asset 2492,119.8,5.06,21-Jul-2020,3.489,4.2237061769616,AA,1
Corp,Asset 2493,102.24,2.19,10-Sep-2015,1.956,2.14201877934272,A,0
Muni,Asset 2494,112.07,4.91,20-Feb-2034,3.454,4.3811903274739,AA,1
Muni,Asset 2495,110.96,4.97,29-Jun-2013,1.201,4.47909156452776,AA,0
Muni,Asset 2496,114.37,6.13,22-Nov-2025,4.847,5.35979714960217,A,1
Corp,Asset 2497,120.46,7.8,12-Jun-2030,6.01,6.47517848248381,A,0
Muni,Asset 2498,111.48,4.6,29-Sep-2019,3.366,4.12630068173663,NA,0
Muni,Asset 2499,121.83,5.02,16-May-2020,3.756,4.12049577279816,NA,0
Muni,Asset 2500,120.74,5.44,09-Jan-2022,3.778,4.50554911379824,A,1
Muni,Asset 2501,117.36,4.95,21-Jul-2026,3.485,4.21779141104294,AAA,1
Corp,Asset 2502,92.43,6.86,16-Oct-2018,5.205,7.42183273828844,B,1
Muni,Asset 2503,116.77,5.03,25-Jul-2016,3.51,4.30761325682967,NA,0
Muni,Asset 2504,117.1,3.93,02-May-2017,3.027,3.35610589239966,AA,0
Muni,Asset 2505,106.73,4.01,26-Jul-2013,1.783,3.75714419563384,Not Rated,0
Muni,Asset 2506,113.26,4.02,26-Oct-2022,3.133,3.54935546530108,AA,1
Corp,Asset 2507,69.54,11.06,17-Nov-2014,10.302,15.9045153868277,CCC,1
Muni,Asset 2508,89.56,5.33,24-Dec-2028,5.019,5.95131755247879,Not Rated,1
Corp,Asset 2509,103.78,5.63,08-Jul-2012,-0.425,5.42493736750819,BBB,0
Muni,Asset 2510,114.5,3.56,01-Sep-2016,2.67,3.10917030567686,AA,0
Corp,Asset 2511,101.08,7.64,07-Jun-2020,7.505,7.5583696082311,B,1
Muni,Asset 2512,120.59,4.9,28-Oct-2025,3.515,4.06335517041214,AAA,1
Muni,Asset 2513,104.28,3.69,16-Apr-2012,-9.899,3.5385500575374,A,0
Muni,Asset 2514,121.11,5.08,29-Jul-2021,3.421,4.19453389480637,AAA,0
Corp,Asset 2515,107.58,5.28,04-Jan-2014,3.798,4.9079754601227,A,0
Corp,Asset 2516,105.92,3.46,20-Nov-2020,3.089,3.2666163141994,A,0
Muni,Asset 2517,116.69,4.96,15-Feb-2015,3.356,4.25057845573742,AA,0
Muni,Asset 2518,114.65,3.95,18-Dec-2015,3.261,3.44526820758831,A,0
Corp,Asset 2519,117.2,5.68,14-Apr-2017,3.889,4.84641638225256,BBB,0
Muni,Asset 2520,118.43,4.04,11-Dec-2019,3.336,3.41129781305412,AAA,0
Muni,Asset 2521,103.75,4.77,08-Jun-2036,4.543,4.59759036144578,AA,1
Muni,Asset 2522,111.08,5,06-Jun-2028,4.484,4.50126035289881,AA,1
Corp,Asset 2523,129.39,6.84,20-Jun-2037,4.696,5.2863436123348,BBB,0
Muni,Asset 2524,123.66,5.72,30-Apr-2043,3.92,4.62558628497493,AA,0
Muni,Asset 2525,117.05,4.92,19-Apr-2015,3.514,4.20333190944041,AA,0
Muni,Asset 2526,105.2,5.08,25-Nov-2033,4.491,4.82889733840304,AA,1
Muni,Asset 2527,118.24,4.97,03-Nov-2019,3.664,4.20331529093369,NA,0
Corp,Asset 2528,128.92,6.7,15-Sep-2037,3.894,5.1970214086255,A,0
Muni,Asset 2529,122.14,5.35,28-Mar-2028,3.512,4.38021942033732,AA,0
Muni,Asset 2530,120.77,5.28,22-Jan-2019,3.571,4.37194667549888,AA,0
Muni,Asset 2531,108.57,4.07,30-Jun-2013,1.185,3.74873353596758,AAA,0
Muni,Asset 2532,91.76,4.5,21-Oct-2036,3.992,4.90409764603313,NA,1
Muni,Asset 2533,119.67,4.98,17-May-2016,3.8,4.16144397092003,AA,0
Corp,Asset 2534,86.18,6.31,19-Jul-2019,5.055,7.32188442794152,B,1
Muni,Asset 2535,46.78,5.32,09-Jun-2020,10.482,11.3723813595554,CCC,1
Corp,Asset 2536,52.93,10.11,12-Apr-2020,7.975,19.1006990364633,CCC,0
Zero,Asset 2537,60.94,0.1,24-Jul-2029,0.172,0.164095831965868,AAA,0
Muni,Asset 2538,101.92,3.22,11-May-2032,2.93,3.15934065934066,NA,1
Corp,Asset 2539,103.8,5.37,19-Jan-2016,4.05,5.17341040462428,A,0
Muni,Asset 2540,95.98,5.09,14-Apr-2029,4.147,5.30318816420087,BBB,1
Corp,Asset 2541,101.3,0.53,08-Apr-2013,-0.837,0.52319842053307,AAA,1
Muni,Asset 2542,105.65,2.46,09-Jul-2018,2.181,2.32844297207761,NA,0
Treas,Asset 2543,128.71,4.43,31-May-2040,3.357,3.441846010411,AAA,0
Muni,Asset 2544,119.29,5.01,13-Aug-2018,3.366,4.1998491072177,AA,0
Muni,Asset 2545,105.59,3.71,10-Nov-2012,-2.817,3.51359030211194,A,0
Muni,Asset 2546,115.18,5.08,06-Aug-2023,3.508,4.41048793193263,AA,1
Corp,Asset 2547,110.82,9.47,15-Nov-2018,6.712,8.5453889189677,B,1
Muni,Asset 2548,123.19,4.95,01-Jul-2020,3.548,4.01818329409855,AA,0
Corp,Asset 2549,108.56,3.7,10-Oct-2014,2.897,3.40825350036846,AA,0
Corp,Asset 2550,102.4,1.16,11-Jan-2016,1.105,1.1328125,AAA,1
Corp,Asset 2551,110.01,4.47,23-May-2030,3.807,4.06326697572948,AAA,1
Muni,Asset 2552,107.12,3.55,30-Oct-2013,2.583,3.31404032860343,NA,0
Corp,Asset 2553,117.99,5.56,28-Sep-2019,3.698,4.71226375116535,BBB,0
Muni,Asset 2554,109.91,3.05,18-Jan-2023,2.51,2.7749977254117,AA,0
Corp,Asset 2555,108.65,6.07,08-Mar-2013,-0.885,5.58674643350207,AAA,0
Corp,Asset 2556,106.69,4.52,09-Jan-2013,-0.565,4.23657324960165,AAA,0
Muni,Asset 2557,29.68,0.08,27-Nov-2034,0.272,0.269541778975741,AA,0
Muni,Asset 2558,120.45,5.04,27-Aug-2023,3.339,4.18430884184309,AAA,1
Muni,Asset 2559,104.82,4.22,26-Mar-2023,3.294,4.02594924632704,A,1
Muni,Asset 2560,112.52,4.01,12-Sep-2022,2.977,3.56381087806612,AAA,1
Muni,Asset 2561,108.27,3.99,17-Jul-2019,3.17,3.68523136602937,AA,1
Muni,Asset 2562,106.81,4.44,21-Jan-2025,3.448,4.15691414661549,AA,1
Corp,Asset 2563,106.4,4.23,16-Mar-2013,0.056,3.97556390977444,A,0
Muni,Asset 2564,116.2,4.99,05-Jan-2017,3.689,4.29432013769363,AA,1
Muni,Asset 2565,115.19,4.98,09-Nov-2022,3.82,4.32329195242643,NA,1
Corp,Asset 2566,103.56,6.22,14-Aug-2027,4.258,6.00617999227501,AA,1
Corp,Asset 2567,106.23,6.53,12-Apr-2016,4.558,6.14703944271863,BB,0
Muni,Asset 2568,112.63,4.05,26-Nov-2024,3.44,3.59584480156264,NA,1
Muni,Asset 2569,109.83,5,12-Jun-2028,4.36,4.55249021214604,AA,1
Corp,Asset 2570,102.15,8.47,12-Mar-2012,-2.128,8.29172785119922,B,0
Corp,Asset 2571,79.79,5.45,17-May-2030,5.749,6.83042987843088,BBB,1
Corp,Asset 2572,110.54,5.78,10-Aug-2033,3.919,5.22887642482359,BBB,0
Muni,Asset 2573,122.47,5.03,14-Dec-2021,3.912,4.10712827631257,AA,1
Muni,Asset 2574,113.72,5.35,12-May-2016,4.142,4.70453746042912,A,0
Muni,Asset 2575,103.69,3.49,01-Jul-2022,3.059,3.36580190953805,Not Rated,1
Muni,Asset 2576,107.85,4.92,27-Jun-2032,4,4.56189151599444,AA,1
Muni,Asset 2577,111.69,2.96,26-May-2017,2.576,2.65019249709016,NA,0
Muni,Asset 2578,119.81,5.45,28-Mar-2025,3.608,4.54886904265086,NA,0
Muni,Asset 2579,68.41,5.46,09-Jul-2033,5.563,7.98128928519222,Not Rated,1
Muni,Asset 2580,108.47,5.18,31-Jul-2020,3.738,4.77551396699548,AA,0
Muni,Asset 2581,102.7,4.03,25-May-2031,3.717,3.92405063291139,AAA,1
Muni,Asset 2582,105.99,5.59,01-Jun-2012,-6.322,5.27408246060949,NA,0
Muni,Asset 2583,72.14,0,15-May-2021,0.042,0,AA,0
Muni,Asset 2584,106.41,4.5,29-Jun-2028,3.729,4.22892585283338,AA,1
Muni,Asset 2585,116.71,5.04,15-Dec-2014,4.044,4.31839602433382,AA,0
Treas,Asset 2586,117.58,3.69,28-Jul-2041,2.742,3.13828882463004,AAA,0
Muni,Asset 2587,108.39,4.04,12-Aug-2021,3.088,3.72728111449396,AA,1
Corp,Asset 2588,116.4,6.16,14-Nov-2027,4.604,5.29209621993127,BBB,0
Muni,Asset 2589,113.91,4.9,18-Jul-2023,3.56,4.30164164691423,AA,1
Muni,Asset 2590,108.2,2.93,21-Nov-2015,2.596,2.70794824399261,NA,1
Corp,Asset 2591,112.24,3.94,09-Jan-2016,3.098,3.51033499643621,AAA,0
Muni,Asset 2592,108.35,3.93,05-Dec-2012,-2.651,3.62713428703276,AA,0
Muni,Asset 2593,103.58,6.02,11-Jun-2012,-1.193,5.81193280556092,Not Rated,1
Muni,Asset 2594,108.39,3.93,29-Jul-2016,3.066,3.62579573761417,A,1
Muni,Asset 2595,121.09,5,25-May-2016,3.894,4.1291601288298,AA,0
Corp,Asset 2596,44.43,6.56,06-Nov-2024,8.677,14.7647985595318,CC,0
Corp,Asset 2597,81.99,5.87,09-Jan-2032,5.208,7.15940968410782,BBB,1
Muni,Asset 2598,113.92,4.94,22-Feb-2014,3.135,4.33637640449438,AAA,0
Muni,Asset 2599,110.7,5.03,27-Sep-2031,3.6,4.54381210478771,AAA,1
Muni,Asset 2600,120.11,4.92,24-Jul-2022,3.39,4.0962451086504,AAA,1
Muni,Asset 2601,111.93,5.06,24-Jul-2027,3.643,4.52068256946306,AA,1
Corp,Asset 2602,99.27,5.54,27-Jan-2020,4.18,5.5807393976025,BBB,0
Corp,Asset 2603,110.36,6.76,10-Jun-2019,5.857,6.12540775643349,AA,0
Corp,Asset 2604,120.27,5.11,10-Feb-2019,3.403,4.24877359274965,AA,0
Muni,Asset 2605,108.07,4.31,04-Mar-2013,-1.811,3.98815582492829,AA,0
Muni,Asset 2606,103.68,5.48,19-Sep-2029,3.953,5.28549382716049,Not Rated,1
Muni,Asset 2607,105.2,2.02,01-Dec-2012,-2.951,1.92015209125475,AA,0
Muni,Asset 2608,107.2,5.04,31-Oct-2027,3.971,4.70149253731343,A,1
Corp,Asset 2609,86.91,8.56,22-Dec-2013,7.098,9.84926935910712,B,1
Corp,Asset 2610,106.33,4.31,21-Jan-2013,0.141,4.05341860246403,AA,0
Corp,Asset 2611,103.45,3.57,17-Aug-2024,2.906,3.45094248429193,AAA,1
Muni,Asset 2612,119.8,4.98,28-Nov-2015,3.966,4.15692821368948,NA,0
Muni,Asset 2613,98.65,5.03,11-Nov-2026,4.408,5.09883426254435,BB,1
Corp,Asset 2614,105.97,3.07,16-Oct-2020,2.602,2.89704633386808,AAA,0
Muni,Asset 2615,102.06,4.34,29-Jun-2033,3.746,4.25240054869685,NA,0
Muni,Asset 2616,116.39,5.07,10-Sep-2017,3.443,4.35604433370565,AA,1
Muni,Asset 2617,107.7,5.06,10-Jul-2029,3.886,4.69823584029712,AA,1
Muni,Asset 2618,112.03,3.26,08-Jul-2016,2.654,2.90993483888244,AA,0
Corp,Asset 2619,112.57,8.4,07-Jun-2013,-2,7.46202362974149,BBB,0
Muni,Asset 2620,117.88,5.11,14-Mar-2017,3.439,4.33491686460808,NA,0
Corp,Asset 2621,120.47,5.85,17-Feb-2037,3.711,4.85598074209347,A,0
Corp,Asset 2622,132.22,6.44,03-Aug-2037,3.772,4.87067009529572,AA,0
Muni,Asset 2623,80.91,5.7,22-Aug-2028,4.645,7.04486466444197,Not Rated,1
Muni,Asset 2624,126.38,4.91,02-Aug-2020,3.216,3.88510840322836,AAA,0
Corp,Asset 2625,130.79,6.12,21-Mar-2033,3.649,4.6792568239162,A,0
Muni,Asset 2626,111.36,4.55,12-Oct-2024,3.411,4.08584770114943,AA,0
Muni,Asset 2627,113.82,5.02,24-Jun-2017,3.946,4.41047267615533,AA,1
Muni,Asset 2628,121.02,5.29,19-Aug-2016,3.448,4.37117831763345,AAA,0
Treas,Asset 2629,102.21,1.28,13-Sep-2015,1.2,1.25232364739262,AAA,0
Corp,Asset 2630,111.52,5.33,07-Mar-2016,3.662,4.77941176470588,A,0
Corp,Asset 2631,100.43,7.07,13-Oct-2018,4.986,7.03972916459225,BB,1
Muni,Asset 2632,117.73,3.99,24-Feb-2018,2.859,3.38911067697273,AA,0
Muni,Asset 2633,112.85,3.56,19-Aug-2015,2.694,3.15463003987594,AAA,0
Muni,Asset 2634,121.57,5.35,02-Sep-2021,3.459,4.40075676564942,AA,0
Corp,Asset 2635,87,8.3,19-Mar-2027,5.524,9.54022988505747,B,0
Muni,Asset 2636,112.73,4.28,26-Feb-2019,3.113,3.79668233833052,AAA,1
Muni,Asset 2637,119.32,5.54,11-Jul-2015,3.828,4.6429768689239,AAA,0
Corp,Asset 2638,91.37,9.85,08-Sep-2018,5.747,10.7803436576557,BB,1
Corp,Asset 2639,90.31,5.47,11-Feb-2021,4.292,6.05691507031336,BBB,0
Corp,Asset 2640,103.22,5.6,26-Sep-2013,3.174,5.425305173416,BBB,0
Muni,Asset 2641,118.77,4.97,23-Apr-2015,3.534,4.18455839016587,A,0
Corp,Asset 2642,99.14,6.84,13-May-2027,5.648,6.89933427476296,A,1
Corp,Asset 2643,135.88,6.52,14-Jan-2038,3.898,4.79835148660583,A,0
Muni,Asset 2644,110.77,4.1,15-Jul-2020,3.194,3.70136318497788,NA,0
Corp,Asset 2645,100.96,8.75,26-Apr-2018,5.978,8.66679873217116,B,1
Muni,Asset 2646,115.52,7.45,10-Aug-2036,4.461,6.44909972299169,AA,1
Muni,Asset 2647,28.34,0.02,09-May-2032,0.112,0.0705716302046577,AA,0
Treas,Asset 2648,100.19,2.03,26-Apr-2012,1.616,2.02615031440263,AAA,0
Muni,Asset 2649,108.72,4.99,25-Feb-2024,3.561,4.58977189109639,AA,1
Corp,Asset 2650,107.49,5.1,10-Aug-2015,3.664,4.74462740720067,AA,0
Corp,Asset 2651,102.45,8.59,12-Oct-2018,5.512,8.38457784285017,B,1
Muni,Asset 2652,107.74,4.36,17-May-2032,3.71,4.04677928346018,AA,1
Corp,Asset 2653,107.94,4.64,22-Apr-2013,-0.033,4.29868445432648,A,0
Muni,Asset 2654,122.67,5.04,11-Dec-2017,3.986,4.10858400586941,AA,0
Muni,Asset 2655,114.46,5.06,06-Jun-2021,4.405,4.42075834352612,BBB,0
Treas,Asset 2656,132.86,7.44,06-Dec-2016,5.571,5.59987957248231,AAA,0
Muni,Asset 2657,116.97,4.96,02-Mar-2015,3.338,4.24040352227067,AAA,0
Treas,Asset 2658,106.09,2.56,05-Mar-2015,2.148,2.41304552738241,AAA,0
Muni,Asset 2659,114.15,5.03,22-Dec-2024,3.983,4.40648269820412,AA,1
Muni,Asset 2660,106.25,5.47,31-May-2028,4.925,5.14823529411765,NA,1
Muni,Asset 2661,115.06,4.91,03-Nov-2019,3.709,4.26733877976708,A,1
Muni,Asset 2662,112.18,4.34,05-May-2018,3.44,3.86878231413799,NA,1
Muni,Asset 2663,107.71,3.81,05-Jun-2013,-1.097,3.53727601893975,AA,0
Corp,Asset 2664,111.4,4.21,18-Jun-2021,3.551,3.77917414721723,A,0
Treas,Asset 2665,110.23,4.81,23-May-2014,3.978,4.36360337476186,AAA,0
Corp,Asset 2666,108.81,5.82,04-Mar-2020,3.942,5.34877309070857,BBB,0
Muni,Asset 2667,105.9,4.78,19-Oct-2027,3.732,4.51369216241738,AA,1
Muni,Asset 2668,114.47,4,22-May-2015,3.293,3.49436533589587,NA,0
Muni,Asset 2669,112.98,5.07,23-Nov-2034,4.164,4.48751991502921,Not Rated,0
Muni,Asset 2670,106.29,5.09,10-Jun-2027,4.646,4.78878539843824,AAA,0
Muni,Asset 2671,109.19,4.95,14-Nov-2040,4.047,4.53338217785512,NA,1
Treas,Asset 2672,101.86,1.31,13-Nov-2012,0.688,1.28607893186727,AAA,0
Muni,Asset 2673,95.32,5.07,28-Nov-2019,4.984,5.31892572387747,Not Rated,1
Muni,Asset 2674,106.16,2.1,01-Dec-2015,1.956,1.97814619442351,AA,0
Corp,Asset 2675,102.74,8.04,11-Oct-2018,5.279,7.82557913178898,BB,1
Muni,Asset 2676,120.73,5,30-Apr-2022,3.59,4.14147270769486,AA,1
Corp,Asset 2677,122.9,5.05,23-Nov-2017,3.846,4.10903173311635,AAA,0
Muni,Asset 2678,125.95,5.87,14-Feb-2029,3.617,4.66057959507741,AA,0
Muni,Asset 2679,108.53,4.43,23-Aug-2026,3.282,4.08182069473878,AA,1
Corp,Asset 2680,99.38,8.26,02-May-2018,6.027,8.31153149527068,B,1
Corp,Asset 2681,104.86,6.28,27-Jun-2012,-2.419,5.98893763112722,A,0
Muni,Asset 2682,113.46,4.91,18-Jan-2014,3.239,4.32751630530583,AA,0
Muni,Asset 2683,116.66,3.75,19-Jun-2018,3.052,3.21446939825133,AA,0
Corp,Asset 2684,117.62,5.81,06-Apr-2016,3.874,4.93963611630675,A,0
Muni,Asset 2685,114.86,4.54,28-May-2020,3.787,3.95263799407975,AA,0
Muni,Asset 2686,106.5,4.75,26-Mar-2013,0.466,4.46009389671362,AA,0
Corp,Asset 2687,107.79,2.31,23-Jul-2015,1.981,2.14305594210966,AAA,0
Muni,Asset 2688,109.38,2.98,12-Oct-2014,2.405,2.72444688242823,NA,0
Muni,Asset 2689,105.27,4.73,10-Dec-2027,4.372,4.4932079414838,AA,1
Muni,Asset 2690,79.82,5.41,16-Oct-2034,4.917,6.77774993735906,Not Rated,1
Muni,Asset 2691,91.34,0,09-Aug-2018,0.018,0,NA,0
Muni,Asset 2692,97.6,5.05,29-Sep-2040,3.95,5.17418032786885,NA,1
Muni,Asset 2693,109.87,3.96,11-Sep-2016,2.999,3.60425957950305,AA,1
Muni,Asset 2694,113.49,5.05,18-Dec-2026,4.106,4.44973125385497,AA,1
Muni,Asset 2695,109.66,3.96,07-Jul-2013,1.267,3.61116177275214,AA,0
Corp,Asset 2696,103.26,6.19,14-Sep-2036,4.259,5.99457679643618,A,1
Muni,Asset 2697,123.66,7.18,02-Jun-2015,5.588,5.80624292414685,AA,0
Muni,Asset 2698,106.34,4.92,01-Jul-2020,3.972,4.62666917434644,AA,0
Muni,Asset 2699,120.51,4.41,18-Jan-2017,3.145,3.65944734876774,NA,0
Muni,Asset 2700,113.2,6.16,04-Jul-2030,4.432,5.4416961130742,BBB,1
Corp,Asset 2701,87.27,6.15,21-Sep-2019,4.728,7.04709522172568,B,1
Muni,Asset 2702,109,5.1,07-Apr-2013,-1.643,4.67889908256881,AAA,0
Muni,Asset 2703,125.78,4.98,14-Dec-2018,3.781,3.95929400540627,AA,0
Muni,Asset 2704,116.01,4.94,29-Apr-2017,3.659,4.25825359882769,A,0
Muni,Asset 2705,97.55,5.82,27-Aug-2029,4.215,5.96617119425935,Not Rated,1
Muni,Asset 2706,103.84,4.42,05-Dec-2024,4.219,4.25654853620955,A,1
Corp,Asset 2707,118.23,7.05,02-Nov-2028,4.79,5.962953565085,BBB,0
Muni,Asset 2708,104.9,5.64,06-Jul-2033,4.355,5.3765490943756,A,1
Muni,Asset 2709,116.75,5.24,30-Jun-2017,3.894,4.48822269807281,A,0
Corp,Asset 2710,105.2,10.08,09-Nov-2020,6.928,9.58174904942966,B,1
Muni,Asset 2711,106.5,5.02,03-Jul-2036,3.997,4.71361502347418,AA,1
Treas,Asset 2712,155.5,8.84,19-May-2020,5.012,5.68488745980707,AAA,0
Corp,Asset 2713,106,5.55,26-Apr-2024,4.253,5.23584905660377,AA,1
Muni,Asset 2714,36.99,0,13-Oct-2030,0.058,0,AA,0
Corp,Asset 2715,101.57,2.99,23-Apr-2016,2.661,2.94378261297627,AA,0
Muni,Asset 2716,116.55,3.94,19-Oct-2016,2.97,3.38052338052338,AA,0
Muni,Asset 2717,105.07,4.76,12-Dec-2023,4.34,4.53031312458361,A,1
Muni,Asset 2718,105.45,5.26,20-Feb-2014,3.508,4.98814604077762,Not Rated,1
Muni,Asset 2719,109.54,4.46,11-Jul-2022,3.475,4.07157202848275,AA,1
Muni,Asset 2720,113.07,4.47,23-Sep-2017,3.241,3.95330326346511,NA,0
Zero,Asset 2721,45.47,0,27-Feb-2038,0.032,0,AAA,0
Muni,Asset 2722,126.3,4.73,20-Dec-2029,3.49,3.74505146476643,AA,0
Corp,Asset 2723,106.56,3.38,21-Nov-2020,3.014,3.17192192192192,AAA,1
Corp,Asset 2724,149.34,6.89,13-Feb-2026,3.595,4.61363331994107,AAA,0
Muni,Asset 2725,108.39,5.3,22-Dec-2015,4.344,4.88974997693514,A,0
Corp,Asset 2726,137.53,8.95,14-May-2023,5.432,6.50767105358831,BBB,0
Muni,Asset 2727,119.21,5.24,18-Sep-2020,3.484,4.3956043956044,NA,0
Muni,Asset 2728,113.4,5.2,07-Jan-2014,3.504,4.58553791887125,AA,0
Muni,Asset 2729,114.92,6.1,01-Sep-2016,3.919,5.30804037591368,A,0
Muni,Asset 2730,106.92,5.07,30-Jan-2042,3.726,4.74186307519641,NA,1
Muni,Asset 2731,115.2,4.91,25-Apr-2025,3.624,4.26215277777778,AA,1
Muni,Asset 2732,90.43,5.21,28-Dec-2031,4.773,5.76136237974124,Not Rated,1
Muni,Asset 2733,110.66,3.29,09-Jun-2014,2.884,2.97307066690765,AA,0
Muni,Asset 2734,116.6,4.9,15-Jul-2018,3.523,4.20240137221269,A,0
Corp,Asset 2735,104.81,6.28,22-Jan-2015,4.404,5.99179467608053,BB,1
Corp,Asset 2736,103.04,1.34,14-Nov-2016,1.277,1.30046583850932,NA,0
